organization_name,organization_type,ticker_symbol,city,state,fortune_rank,industry_sector,estimated_min_sponsorship,estimated_max_sponsorship,estimated_typical_sponsorship,sponsorship_likelihood_score,arts_education_potential,email,website,mission,data_source,created_at,geographic_priority
Advanced Life Sciences LLC,corporation,ADLI,Los Angeles,CA,263,Healthcare,5904,590400,65357,59,Medium,giving@advancedlifesci.com,https://www.advancedlifesci.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680202,High
Elite Life Sciences Inc.,corporation,ELLI,Greenville,MS,264,Healthcare,5896,589600,65180,63,Medium,marketing@elitelifescienc.com,https://www.elitelifescienc.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680216,Medium
Innovative Wellness Corporation,corporation,INWE,Bowling Green,KY,265,Healthcare,5888,588800,65003,65,Medium,giving@innovativewelln.com,https://www.innovativewelln.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680229,Medium
Superior Health Holdings,corporation,SUHE,Dallas,TX,266,Healthcare,5880,588000,64827,67,Medium,marketing@superiorhealth.com,https://www.superiorhealth.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680277,High
Elite Health Holdings,corporation,ELHE,Annapolis,MD,267,Healthcare,5872,587200,64650,64,Medium,community@elitehealth.com,https://www.elitehealth.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680301,Medium
Premier Pharma Corporation,corporation,PRPH,Jackson,TN,268,Healthcare,5864,586400,64474,57,Medium,marketing@premierpharma.com,https://www.premierpharma.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680315,Medium
Advanced Pharma Corporation,corporation,ADPH,Newark,NJ,269,Healthcare,5856,585600,64298,57,Medium,community@advancedpharma.com,https://www.advancedpharma.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680330,Medium
Superior Medical Holdings,corporation,SUME,Worcester,MA,270,Healthcare,5848,584800,64123,65,Medium,giving@superiormedical.com,https://www.superiormedical.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680346,High
Advanced Medical Holdings,corporation,ADME,Fairmont,WV,271,Healthcare,5840,584000,63948,64,Medium,relations@advancedmedical.com,https://www.advancedmedical.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680358,Medium
Premier Bio Systems,corporation,PRBI,Covington,KY,272,Healthcare,5832,583200,63772,62,Medium,community@premierbio.com,https://www.premierbio.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680373,Medium
Innovative Care Corporation,corporation,INCA,Athens,GA,273,Healthcare,5824,582400,63598,61,Medium,partnerships@innovativecare.com,https://www.innovativecare.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680384,Medium
Elite Wellness Company,corporation,ELWE,Ogden,UT,274,Healthcare,5816,581600,63423,60,Medium,partnerships@elitewellness.com,https://www.elitewellness.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680396,Medium
Strategic Life Sciences Holdings,corporation,STLI,Jersey City,NJ,275,Healthcare,5808,580800,63249,56,Medium,community@strategiclifesc.com,https://www.strategiclifesc.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680410,Medium
Professional Medical Holdings,corporation,PRME,Kearney,NE,276,Healthcare,5800,580000,63075,56,Medium,partnerships@professionalmed.com,https://www.professionalmed.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680423,Medium
Innovative Health LLC,corporation,INHE,Kansas City,KS,277,Healthcare,5792,579200,62901,66,Medium,relations@innovativehealt.com,https://www.innovativehealt.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680435,Medium
Strategic Life Sciences Enterprises,corporation,STLI,Independence,MO,278,Healthcare,5784,578400,62727,57,Medium,community@strategiclifesc.com,https://www.strategiclifesc.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680449,Medium
Elite Health Corporation,corporation,ELHE,Billings,MT,279,Healthcare,5776,577600,62554,62,Medium,community@elitehealth.com,https://www.elitehealth.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680467,Medium
Elite Therapeutics Inc.,corporation,ELTH,Knoxville,TN,280,Healthcare,5768,576800,62380,66,Medium,marketing@elitetherapeuti.com,https://www.elitetherapeuti.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680480,Medium
Advanced Wellness Corporation,corporation,ADWE,Eau Claire,WI,281,Healthcare,5760,576000,62208,61,Medium,community@advancedwellnes.com,https://www.advancedwellnes.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680491,Medium
Elite Care Systems,corporation,ELCA,Canton,OH,282,Healthcare,5752,575200,62035,58,Medium,relations@elitecare.com,https://www.elitecare.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680504,Medium
Professional Wellness Holdings,corporation,PRWE,East Providence,RI,283,Healthcare,5744,574400,61862,64,Medium,partnerships@professionalwel.com,https://www.professionalwel.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680516,Medium
Innovative Health LLC,corporation,INHE,Lake Charles,LA,284,Healthcare,5736,573600,61690,63,Medium,partnerships@innovativehealt.com,https://www.innovativehealt.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680530,Medium
Elite Care Company,corporation,ELCA,Kent,WA,285,Healthcare,5728,572800,61518,59,Medium,community@elitecare.com,https://www.elitecare.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680543,High
Strategic Bio Corporation,corporation,STBI,Eau Claire,WI,286,Healthcare,5720,572000,61347,60,Medium,community@strategicbio.com,https://www.strategicbio.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680556,Medium
Premier Health Inc.,corporation,PRHE,Montgomery,AL,287,Healthcare,5712,571200,61175,65,Medium,giving@premierhealth.com,https://www.premierhealth.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680569,Medium
Premier Therapeutics Enterprises,corporation,PRTH,Kent,WA,288,Healthcare,5704,570400,61004,62,Medium,partnerships@premiertherapeu.com,https://www.premiertherapeu.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680586,High
Advanced Health Inc.,corporation,ADHE,Sacramento,CA,289,Healthcare,5696,569600,60833,58,Medium,relations@advancedhealth.com,https://www.advancedhealth.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680601,High
Strategic Life Sciences Group,corporation,STLI,Warwick,RI,290,Healthcare,5688,568800,60662,56,Medium,partnerships@strategiclifesc.com,https://www.strategiclifesc.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680615,Medium
Advanced Wellness Corporation,corporation,ADWE,Carson City,NV,291,Healthcare,5680,568000,60492,61,Medium,partnerships@advancedwellnes.com,https://www.advancedwellnes.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680627,Medium
Strategic Health LLC,corporation,STHE,Colorado Springs,CO,292,Healthcare,5672,567200,60321,56,Medium,community@strategichealth.com,https://www.strategichealth.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680640,High
Innovative Care Group,corporation,INCA,Vancouver,WA,293,Healthcare,5664,566400,60151,57,Medium,marketing@innovativecare.com,https://www.innovativecare.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680655,High
Premier Life Sciences Company,corporation,PRLI,West Valley City,UT,294,Healthcare,5656,565600,59981,62,Medium,community@premierlifescie.com,https://www.premierlifescie.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680669,Medium
Innovative Care Inc.,corporation,INCA,Davenport,IA,295,Healthcare,5648,564800,59812,64,Medium,partnerships@innovativecare.com,https://www.innovativecare.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680681,Medium
Professional Care Inc.,corporation,PRCA,Toledo,OH,296,Healthcare,5640,564000,59643,58,Medium,community@professionalcar.com,https://www.professionalcar.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680698,Medium
Professional Health Inc.,corporation,PRHE,Newark,DE,297,Healthcare,5632,563200,59473,59,Medium,marketing@professionalhea.com,https://www.professionalhea.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680709,Medium
Strategic Life Sciences Enterprises,corporation,STLI,Savannah,GA,298,Healthcare,5624,562400,59305,55,Medium,partnerships@strategiclifesc.com,https://www.strategiclifesc.com,Improving lives by developing life-saving therapies and advancing medical research for better health outcomes.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680722,Medium
Strategic Medical Corporation,corporation,STME,Casper,WY,299,Healthcare,5616,561600,59136,55,Medium,community@strategicmedica.com,https://www.strategicmedica.com,"Advancing human health through innovative medical solutions, compassionate care, and breakthrough treatments.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680740,Medium
Professional Health Enterprises,corporation,PRHE,Oklahoma City,OK,300,Healthcare,5608,560800,58968,63,Medium,giving@professionalhea.com,https://www.professionalhea.com,Dedicated to enhancing health and wellness through innovative healthcare solutions and community partnerships.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.680754,Medium
Premier Brands LLC,corporation,PRBR,Orem,UT,301,Consumer Goods,3500,350000,29399,64,High,sponsorships@premierbrands.com,https://www.premierbrands.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681186,Medium
Strategic Company Company,corporation,STRA,Topeka,KS,302,Consumer Goods,3495,349500,29316,65,High,community@strategic.com,https://www.strategic.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681259,Medium
Dynamic Consumer Holdings,corporation,DYCO,New Bedford,MA,303,Consumer Goods,3489,349000,29223,61,High,marketing@dynamicconsumer.com,https://www.dynamicconsumer.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681285,High
Professional Goods Company,corporation,PRGO,Carson City,NV,304,Consumer Goods,3484,348500,29140,59,High,giving@professionalgoo.com,https://www.professionalgoo.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681300,Medium
Strategic Goods Enterprises,corporation,STGO,Lawton,OK,305,Consumer Goods,3479,348000,29056,62,High,partnerships@strategicgoods.com,https://www.strategicgoods.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681313,Medium
Innovative International Corporation,corporation,ININ,Macon,GA,306,Consumer Goods,3474,347500,28973,66,High,community@innovativeinter.com,https://www.innovativeinter.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681329,Medium
Professional Corp Corporation,corporation,PRCO,Springfield,MA,307,Consumer Goods,3469,347000,28889,56,High,community@professionalcor.com,https://www.professionalcor.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681341,High
Dynamic International Company,corporation,DYIN,Santa Fe,NM,308,Consumer Goods,3464,346500,28806,61,High,partnerships@dynamicinternat.com,https://www.dynamicinternat.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681356,Medium
Dynamic Corp Inc.,corporation,DYCO,New Orleans,LA,309,Consumer Goods,3459,346000,28723,63,High,marketing@dynamiccorp.com,https://www.dynamiccorp.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681371,Medium
Elite Company Group,corporation,ELIT,South Bend,IN,310,Consumer Goods,3454,345500,28640,55,High,sponsorships@elite.com,https://www.elite.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681386,Medium
Superior Consumer Inc.,corporation,SUCO,Wilmington,NC,311,Consumer Goods,3449,345000,28557,56,High,marketing@superiorconsume.com,https://www.superiorconsume.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681399,Medium
Premier Corp Enterprises,corporation,PRCO,North Little Rock,AR,312,Consumer Goods,3444,344500,28474,58,High,community@premiercorp.com,https://www.premiercorp.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681412,Medium
Strategic Goods LLC,corporation,STGO,Gulfport,MS,313,Consumer Goods,3439,344000,28392,64,High,sponsorships@strategicgoods.com,https://www.strategicgoods.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681426,Medium
Superior Products Enterprises,corporation,SUPR,Canton,OH,314,Consumer Goods,3435,343500,28318,60,High,giving@superiorproduct.com,https://www.superiorproduct.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681439,Medium
Professional International Systems,corporation,PRIN,Salt Lake City,UT,315,Consumer Goods,3430,343000,28235,64,High,community@professionalint.com,https://www.professionalint.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681453,Medium
Premier Corp LLC,corporation,PRCO,Hoover,AL,316,Consumer Goods,3425,342500,28153,62,High,giving@premiercorp.com,https://www.premiercorp.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681474,Medium
Superior Brands Systems,corporation,SUBR,Rochester,NY,317,Consumer Goods,3420,342000,28071,59,High,marketing@superiorbrands.com,https://www.superiorbrands.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681490,High
Superior Company LLC,corporation,SUPE,Worcester,MA,318,Consumer Goods,3415,341500,27989,60,High,sponsorships@superior.com,https://www.superior.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681503,High
Elite Retail Holdings,corporation,ELRE,Mobile,AL,319,Consumer Goods,3410,341000,27907,60,High,marketing@eliteretail.com,https://www.eliteretail.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681519,Medium
Professional Retail Group,corporation,PRRE,Ames,IA,320,Consumer Goods,3405,340500,27825,57,High,marketing@professionalret.com,https://www.professionalret.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681532,Medium
Dynamic International Group,corporation,DYIN,Fort Lauderdale,FL,321,Consumer Goods,3400,340000,27744,55,High,community@dynamicinternat.com,https://www.dynamicinternat.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681546,High
Strategic Brands Enterprises,corporation,STBR,Sheridan,WY,322,Consumer Goods,3395,339500,27662,55,High,giving@strategicbrands.com,https://www.strategicbrands.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681560,Medium
Dynamic Goods Company,corporation,DYGO,Tacoma,WA,323,Consumer Goods,3390,339000,27581,58,High,partnerships@dynamicgoods.com,https://www.dynamicgoods.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681574,High
Advanced Corp Holdings,corporation,ADCO,New Britain,CT,324,Consumer Goods,3385,338500,27499,62,High,sponsorships@advancedcorp.com,https://www.advancedcorp.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681587,Medium
Superior Products Group,corporation,SUPR,Portsmouth,VA,325,Consumer Goods,3380,338000,27418,59,High,sponsorships@superiorproduct.com,https://www.superiorproduct.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681600,Medium
Dynamic Corp LLC,corporation,DYCO,Mililani Town,HI,326,Consumer Goods,3375,337500,27337,54,High,marketing@dynamiccorp.com,https://www.dynamiccorp.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681615,Medium
Elite Company Systems,corporation,ELIT,Medford,OR,327,Consumer Goods,3370,337000,27256,58,High,community@elite.com,https://www.elite.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681627,Medium
Innovative Brands Company,corporation,INBR,Detroit,MI,328,Consumer Goods,3365,336500,27175,56,High,partnerships@innovativebrand.com,https://www.innovativebrand.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681640,Medium
Professional Products Systems,corporation,PRPR,Bethlehem,PA,329,Consumer Goods,3360,336000,27095,63,High,giving@professionalpro.com,https://www.professionalpro.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681663,Medium
Elite Goods Company,corporation,ELGO,Ames,IA,330,Consumer Goods,3355,335500,27014,64,High,partnerships@elitegoods.com,https://www.elitegoods.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681675,Medium
Professional Retail Inc.,corporation,PRRE,Brookings,SD,331,Consumer Goods,3350,335000,26934,62,High,marketing@professionalret.com,https://www.professionalret.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681690,Medium
Innovative Consumer Group,corporation,INCO,Virginia Beach,VA,332,Consumer Goods,3345,334500,26853,61,High,partnerships@innovativeconsu.com,https://www.innovativeconsu.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681708,Medium
Innovative Consumer Group,corporation,INCO,Norfolk,VA,333,Consumer Goods,3340,334000,26773,58,High,marketing@innovativeconsu.com,https://www.innovativeconsu.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681722,Medium
Advanced Brands Inc.,corporation,ADBR,St. Louis,MO,334,Consumer Goods,3335,333500,26693,61,High,partnerships@advancedbrands.com,https://www.advancedbrands.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681737,Medium
Premier Brands Corporation,corporation,PRBR,Elgin,IL,335,Consumer Goods,3330,333000,26613,56,High,marketing@premierbrands.com,https://www.premierbrands.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681750,High
Advanced Corp Corporation,corporation,ADCO,West Valley City,UT,336,Consumer Goods,3325,332500,26533,54,High,community@advancedcorp.com,https://www.advancedcorp.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681766,Medium
Superior Company Enterprises,corporation,SUPE,Waukesha,WI,337,Consumer Goods,3320,332000,26453,60,High,community@superior.com,https://www.superior.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681779,Medium
Innovative Retail Enterprises,corporation,INRE,Ann Arbor,MI,338,Consumer Goods,3315,331500,26374,57,High,sponsorships@innovativeretai.com,https://www.innovativeretai.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681797,Medium
Strategic Goods Group,corporation,STGO,Sandy Springs,GA,339,Consumer Goods,3310,331000,26294,59,High,partnerships@strategicgoods.com,https://www.strategicgoods.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681810,Medium
Dynamic Corp Inc.,corporation,DYCO,Hattiesburg,MS,340,Consumer Goods,3305,330500,26215,58,High,marketing@dynamiccorp.com,https://www.dynamiccorp.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681824,Medium
Professional Consumer Corporation,corporation,PRCO,Las Cruces,NM,341,Consumer Goods,3300,330000,26136,53,High,community@professionalcon.com,https://www.professionalcon.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681839,Medium
Advanced Retail Systems,corporation,ADRE,Toledo,OH,342,Consumer Goods,3295,329500,26056,60,High,marketing@advancedretail.com,https://www.advancedretail.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681855,Medium
Professional Retail Inc.,corporation,PRRE,Juneau,AK,343,Consumer Goods,3290,329000,25977,62,High,partnerships@professionalret.com,https://www.professionalret.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681866,Medium
Premier Products Corporation,corporation,PRPR,Seaford,DE,344,Consumer Goods,3285,328500,25898,58,High,marketing@premierproducts.com,https://www.premierproducts.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681879,Medium
Innovative Goods LLC,corporation,INGO,Manhattan,KS,345,Consumer Goods,3280,328000,25820,60,High,community@innovativegoods.com,https://www.innovativegoods.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681891,Medium
Strategic Goods Holdings,corporation,STGO,Hialeah,FL,346,Consumer Goods,3275,327500,25741,58,High,community@strategicgoods.com,https://www.strategicgoods.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681905,High
Professional Products Holdings,corporation,PRPR,Boston,MA,347,Consumer Goods,3270,327000,25662,56,High,community@professionalpro.com,https://www.professionalpro.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681922,High
Strategic Brands Corporation,corporation,STBR,Winston-Salem,NC,348,Consumer Goods,3265,326500,25584,58,High,marketing@strategicbrands.com,https://www.strategicbrands.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681935,Medium
Premier Corp Holdings,corporation,PRCO,Athens,GA,349,Consumer Goods,3260,326000,25506,59,High,marketing@premiercorp.com,https://www.premiercorp.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681950,Medium
Innovative Consumer Corporation,corporation,INCO,Cary,NC,350,Consumer Goods,3255,325500,25428,57,High,community@innovativeconsu.com,https://www.innovativeconsu.com,Creating products that enrich daily life and bring families together while supporting community growth and development.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681964,Medium
Superior Products LLC,corporation,SUPR,St. George,UT,351,Consumer Goods,3250,325000,25350,55,High,marketing@superiorproduct.com,https://www.superiorproduct.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681977,Medium
Innovative Consumer Group,corporation,INCO,Derry,NH,352,Consumer Goods,3245,324500,25272,54,High,marketing@innovativeconsu.com,https://www.innovativeconsu.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.681989,Medium
Professional International Inc.,corporation,PRIN,Everett,WA,353,Consumer Goods,3240,324000,25194,56,High,sponsorships@professionalint.com,https://www.professionalint.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.682003,High
Professional Consumer Inc.,corporation,PRCO,Hastings,NE,354,Consumer Goods,3235,323500,25116,54,High,giving@professionalcon.com,https://www.professionalcon.com,"Delivering quality products that meet consumer needs while building stronger, more vibrant communities.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.682024,Medium
Innovative Consumer LLC,corporation,INCO,Roswell,NM,355,Consumer Goods,3230,323000,25038,60,High,sponsorships@innovativeconsu.com,https://www.innovativeconsu.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.682039,Medium
Professional Retail LLC,corporation,PRRE,San Jose,CA,356,Consumer Goods,3225,322500,24961,61,High,marketing@professionalret.com,https://www.professionalret.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.682057,High
Dynamic Products Group,corporation,DYPR,Richmond,VA,357,Consumer Goods,3220,322000,24884,57,High,partnerships@dynamicproducts.com,https://www.dynamicproducts.com,Bringing innovation and quality to everyday products while fostering community connections and cultural enrichment.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.682070,Medium
